-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted

128           74.81         50.00
192           61.46         42.11
256           55.18         37.29
320           32.63         33.93
384           28.62         31.41
448           23.91         29.42
512           22.37         27.81
576           27.25         26.45
640           17.57         25.30
704           22.95         24.30
768           22.79         23.42
832           19.38         22.64
896           17.26         21.94
960           16.36         21.31
1024          16.50         20.74
1088          17.43         20.21
1152          13.35         19.73
1216          17.92         19.28
1280          16.96         18.87
1344          16.10         18.48
1408          17.22         18.12
1472          15.32         17.78
1536          16.17         17.47
1600          17.12         17.17
1664          16.60         16.88
1728          19.04         16.62
1792          16.71         16.36
1856          14.83         16.12
1920          17.33         15.89
1984          16.68         15.67
2048          15.54         15.46
2112          17.09         15.26
2176          15.60         15.07
2240          16.41         14.89
2304          16.19         14.71
2368          14.59         14.54
2432          15.69         14.38
2496          15.32         14.22
2560          15.11         14.07
2624          15.94         13.92
2688          13.82         13.78
2752          14.09         13.65
2816          14.68         13.51
2880          16.35         13.39
2944          18.73         13.26
3008          14.10         13.14

Session Time: 20 dk



-----------------------S2---------------------

Power Regression: 
4.91 x^ -0.15  (R^2 = 0.36)

-------------RESULTS----------------
Memory       Measured       Predicted

128           5.00         2.38
192           1.80         2.24
256           1.77         2.14
320           3.86         2.07
384           1.27         2.02
448           1.62         1.97
512           1.82         1.93
576           1.37         1.90
640           1.76         1.87
704           1.81         1.84
768           1.74         1.82
832           1.59         1.80
896           1.57         1.78
960           1.88         1.76
1024          1.70         1.74
1088          1.43         1.72
1152          1.74         1.71
1216          1.62         1.70
1280          1.53         1.68
1344          1.63         1.67
1408          1.50         1.66
1472          1.76         1.65
1536          1.86         1.64
1600          1.78         1.63
1664          1.49         1.62
1728          1.49         1.61
1792          1.46         1.60
1856          1.40         1.59
1920          1.74         1.58
1984          1.32         1.58
2048          1.64         1.57
2112          1.56         1.56
2176          1.74         1.56
2240          1.63         1.55
2304          1.37         1.54
2368          1.57         1.54
2432          1.69         1.53
2496          1.54         1.52
2560          1.32         1.52
2624          1.71         1.51
2688          1.94         1.51
2752          1.85         1.50
2816          1.57         1.50
2880          1.75         1.49
2944          1.50         1.49
3008          1.64         1.48

Session Time: 20 dk

-----------------------S3---------------------

Power Regression: 
433.95 x^ -0.42  (R^2 = 0.92)

-------------RESULTS----------------
Memory       Measured       Predicted

128           75.62         56.70
192           66.68         47.84
256           57.46         42.40
320           44.43         38.61
384           33.97         35.77
448           30.89         33.53
512           20.90         31.70
576           26.49         30.17
640           27.49         28.87
704           26.21         27.74
768           22.38         26.74
832           19.10         25.86
896           22.35         25.07
960           24.07         24.35
1024          21.45         23.70
1088          23.41         23.11
1152          19.69         22.56
1216          18.93         22.06
1280          17.41         21.59
1344          17.03         21.15
1408          16.63         20.74
1472          22.97         20.36
1536          16.87         20.00
1600          16.30         19.66
1664          17.53         19.34
1728          17.41         19.03
1792          19.65         18.75
1856          19.78         18.47
1920          18.49         18.21
1984          17.56         17.96
2048          17.55         17.72
2112          17.44         17.50
2176          19.44         17.28
2240          20.11         17.07
2304          16.74         16.87
2368          20.40         16.68
2432          16.40         16.49
2496          17.73         16.31
2560          17.55         16.14
2624          17.45         15.97
2688          16.83         15.81
2752          19.29         15.66
2816          16.58         15.51
2880          17.63         15.36
2944          16.24         15.22
3008          19.24         15.08

Session Time: 20 dk

-----------------------S4---------------------

Power Regression: 
625.47 x^ -0.45  (R^2 = 0.96)

-------------RESULTS----------------
Memory       Measured       Predicted

128           86.17         70.45
192           77.87         58.70
256           73.65         51.57
320           53.21         46.64
384           45.26         42.97
448           37.34         40.09
512           32.62         37.75
576           33.85         35.80
640           26.13         34.14
704           28.85         32.71
768           25.98         31.45
832           26.48         30.34
896           28.27         29.34
960           26.47         28.45
1024          24.86         27.63
1088          20.73         26.89
1152          21.29         26.21
1216          20.83         25.58
1280          20.68         24.99
1344          21.62         24.45
1408          24.47         23.94
1472          20.97         23.47
1536          19.28         23.02
1600          20.91         22.60
1664          22.66         22.21
1728          20.52         21.83
1792          20.34         21.48
1856          18.78         21.14
1920          21.27         20.82
1984          20.88         20.52
2048          18.26         20.23
2112          19.95         19.95
2176          21.26         19.68
2240          19.02         19.43
2304          20.26         19.18
2368          24.03         18.95
2432          18.24         18.72
2496          20.86         18.50
2560          18.77         18.29
2624          20.71         18.09
2688          19.13         17.90
2752          19.38         17.71
2816          22.73         17.53
2880          21.29         17.35
2944          20.99         17.18
3008          20.44         17.01

Session Time: 20 dk

-----------------------S5---------------------

Power Regression: 
221.52 x^ -0.34  (R^2 = 0.85)

-------------RESULTS----------------
Memory       Measured       Predicted

128           52.58         43.54
192           62.46         38.00
256           44.81         34.51
320           39.38         32.02
384           27.53         30.12
448           25.59         28.60
512           21.11         27.35
576           21.32         26.29
640           20.88         25.38
704           22.96         24.58
768           20.80         23.87
832           18.34         23.24
896           19.25         22.67
960           18.39         22.15
1024          19.79         21.68
1088          18.77         21.24
1152          17.60         20.84
1216          17.52         20.46
1280          19.52         20.12
1344          18.75         19.79
1408          16.96         19.48
1472          17.12         19.20
1536          16.81         18.92
1600          18.15         18.67
1664          17.33         18.42
1728          19.20         18.19
1792          16.28         17.97
1856          16.78         17.76
1920          16.91         17.56
1984          19.37         17.37
2048          17.10         17.18
2112          17.40         17.01
2176          18.66         16.84
2240          19.21         16.67
2304          20.98         16.52
2368          15.47         16.37
2432          17.48         16.22
2496          18.94         16.08
2560          16.52         15.94
2624          18.37         15.81
2688          17.34         15.69
2752          16.79         15.56
2816          16.13         15.44
2880          20.04         15.33
2944          14.60         15.21
3008          17.47         15.10

Session Time: 20 dk

-----------------------S6---------------------

Power Regression: 
566.57 x^ -0.47  (R^2 = 0.87)

-------------RESULTS----------------
Memory       Measured       Predicted

128           147.35        57.73
